timestamp,date,time,hour,violation_type,violation_id,vehicle_id,vehicle_type,license_plate,lane,traffic_signal,speed,location_x,location_y
2026-01-23T18:15:23.233115,2026-01-23,18:15:23,18,ILLEGAL_TURN,4,43,SMALL,N/A,LANE2,GREEN,165.02,709,546
2026-01-23T18:15:23.567948,2026-01-23,18:15:23,18,ILLEGAL_TURN,5,44,SMALL,N/A,LANE1,RED,225.94,682,239
2026-01-23T18:15:23.715313,2026-01-23,18:15:23,18,ILLEGAL_TURN,6,38,SMALL,N/A,LANE1,RED,153.79,566,252
2026-01-23T18:15:24.235409,2026-01-23,18:15:24,18,ILLEGAL_TURN,7,49,SMALL,N/A,LANE2,GREEN,38.36,690,421
2026-01-23T18:15:25.085884,2026-01-23,18:15:25,18,ILLEGAL_TURN,8,47,SMALL,N/A,LANE2,GREEN,51.22,776,422
2026-01-23T18:15:25.085884,2026-01-23,18:15:25,18,ILLEGAL_TURN,9,51,SMALL,N/A,LANE1,RED,61.87,527,229
2026-01-23T18:15:25.605851,2026-01-23,18:15:25,18,RED_LIGHT_VIOLATION,10,59,SMALL,N/A,LANE4,RED,19.17,499,361
2026-01-23T18:15:25.653685,2026-01-23,18:15:25,18,ILLEGAL_TURN,11,40,SMALL,N/A,LANE2,GREEN,86.44,690,504
2026-01-23T18:15:26.551366,2026-01-23,18:15:26,18,ILLEGAL_TURN,12,42,SMALL,N/A,LANE1,RED,114.0,580,208
2026-01-23T18:15:26.866942,2026-01-23,18:15:26,18,ILLEGAL_TURN,13,65,SMALL,N/A,LANE2,GREEN,21.96,802,563
2026-01-23T18:15:26.913753,2026-01-23,18:15:26,18,ILLEGAL_TURN,14,57,SMALL,N/A,LANE2,GREEN,231.68,776,495
2026-01-23T18:15:27.870558,2026-01-23,18:15:27,18,ILLEGAL_TURN,15,54,MEDIUM,N/A,LANE2,GREEN,138.45,874,623
2026-01-23T18:15:31.524192,2026-01-23,18:15:31,18,ILLEGAL_TURN,16,68,SMALL,N/A,LANE2,GREEN,210.45,714,498
2026-01-23T18:15:31.822228,2026-01-23,18:15:31,18,ILLEGAL_TURN,17,70,SMALL,N/A,LANE2,GREEN,29.82,752,439
2026-01-23T18:15:32.684119,2026-01-23,18:15:32,18,ILLEGAL_TURN,18,71,SMALL,N/A,LANE2,GREEN,113.85,773,583
2026-01-23T18:15:37.060722,2026-01-23,18:15:37,18,ILLEGAL_TURN,19,72,SMALL,N/A,LANE2,GREEN,180.64,667,560
2026-01-23T18:15:39.225108,2026-01-23,18:15:39,18,ILLEGAL_TURN,20,81,SMALL,N/A,LANE2,GREEN,123.92,777,484
2026-01-23T18:15:39.532925,2026-01-23,18:15:39,18,ILLEGAL_TURN,21,87,SMALL,N/A,LANE2,GREEN,23.65,666,639
2026-01-23T18:15:39.532925,2026-01-23,18:15:39,18,ILLEGAL_TURN,22,88,SMALL,N/A,LANE2,GREEN,25.56,710,636
2026-01-23T18:15:39.636803,2026-01-23,18:15:39,18,ILLEGAL_TURN,23,84,SMALL,N/A,LANE2,GREEN,139.7,703,527
2026-01-23T18:15:39.636803,2026-01-23,18:15:39,18,ILLEGAL_TURN,24,89,SMALL,N/A,LANE2,GREEN,116.3,678,440
2026-01-23T18:16:17.715613,2026-01-23,18:16:17,18,ILLEGAL_TURN,1,7,SMALL,N/A,LANE1,GREEN,30.8,607,126
2026-01-23T18:16:18.886258,2026-01-23,18:16:18,18,ILLEGAL_TURN,2,9,SMALL,N/A,LANE1,GREEN,44.15,729,209
2026-01-23T18:16:19.015217,2026-01-23,18:16:19,18,ILLEGAL_TURN,3,3,LARGE,N/A,LANE2,RED,58.9,699,489
2026-01-23T18:16:21.161482,2026-01-23,18:16:21,18,ILLEGAL_TURN,4,17,SMALL,N/A,LANE2,RED,99.99,603,420
2026-01-23T18:16:23.706648,2026-01-23,18:16:23,18,ILLEGAL_TURN,5,21,SMALL,N/A,LANE1,GREEN,48.44,687,221
2026-01-23T18:17:43.444026,2026-01-23,18:17:43,18,ILLEGAL_TURN,1,21,SMALL,N/A,LANE1,RED,30.77,634,293
2026-01-23T18:18:05.577813,2026-01-23,18:18:05,18,ILLEGAL_TURN,1,1,SMALL,N/A,LANE2,RED,149.65,373,545
2026-01-23T18:18:05.848753,2026-01-23,18:18:05,18,ILLEGAL_TURN,2,2,SMALL,N/A,LANE2,RED,270.99,266,454
2026-01-23T18:18:06.742404,2026-01-23,18:18:06,18,ILLEGAL_TURN,3,29,SMALL,N/A,LANE2,RED,91.51,297,513
2026-01-23T18:18:06.943982,2026-01-23,18:18:06,18,ILLEGAL_TURN,4,20,SMALL,N/A,LANE2,RED,55.46,569,469
2026-01-23T18:18:07.227134,2026-01-23,18:18:07,18,ILLEGAL_TURN,5,30,SMALL,N/A,LANE2,RED,160.66,601,525
2026-01-23T18:18:11.302763,2026-01-23,18:18:11,18,ILLEGAL_TURN,6,10,SMALL,N/A,LANE1,RED,41.33,591,192
2026-01-23T18:19:37.240623,2026-01-23,18:19:37,18,ILLEGAL_TURN,1,5,SMALL,N/A,LANE1,GREEN,30.25,671,279
2026-01-23T18:19:39.839171,2026-01-23,18:19:39,18,ILLEGAL_TURN,2,8,SMALL,N/A,LANE1,RED,12.03,524,202
2026-01-23T18:20:33.154131,2026-01-23,18:20:33,18,ILLEGAL_TURN,1,5,SMALL,N/A,LANE1,RED,100.29,529,200
2026-01-23T18:20:33.920837,2026-01-23,18:20:33,18,ILLEGAL_TURN,2,15,MEDIUM,N/A,LANE1,GREEN,90.18,543,219
2026-01-23T18:20:35.048021,2026-01-23,18:20:35,18,ILLEGAL_TURN,3,17,SMALL,N/A,LANE2,GREEN,129.52,575,541
2026-01-23T18:20:35.969793,2026-01-23,18:20:35,18,RED_LIGHT_VIOLATION,4,22,SMALL,N/A,LANE4,RED,196.78,500,383
2026-01-23T18:20:36.602525,2026-01-23,18:20:36,18,ILLEGAL_TURN,5,3,SMALL,N/A,LANE2,RED,36.35,678,431
2026-01-23T18:20:49.456607,2026-01-23,18:20:49,18,RED_LIGHT_VIOLATION,6,32,SMALL,N/A,LANE4,RED,134.79,500,359
2026-01-23T18:20:49.772464,2026-01-23,18:20:49,18,ILLEGAL_TURN,7,31,SMALL,N/A,LANE2,RED,50.2,678,423
2026-01-23T18:20:49.860987,2026-01-23,18:20:49,18,RED_LIGHT_VIOLATION,8,31,SMALL,N/A,LANE2,RED,56.39,680,420
2026-01-23T18:20:53.167591,2026-01-23,18:20:53,18,ILLEGAL_TURN,9,40,SMALL,N/A,LANE1,GREEN,198.77,551,173
2026-01-23T18:20:53.257010,2026-01-23,18:20:53,18,ILLEGAL_TURN,10,41,SMALL,N/A,LANE2,RED,308.51,571,657
2026-01-23T18:20:54.765863,2026-01-23,18:20:54,18,ILLEGAL_TURN,11,54,SMALL,N/A,LANE2,RED,82.85,766,708
2026-01-23T18:20:57.382952,2026-01-23,18:20:57,18,ILLEGAL_TURN,12,68,SMALL,N/A,LANE1,RED,109.4,520,145
2026-01-23T18:20:58.123877,2026-01-23,18:20:58,18,ILLEGAL_TURN,13,90,SMALL,N/A,LANE1,RED,41.26,576,171
2026-01-23T18:20:58.751824,2026-01-23,18:20:58,18,ILLEGAL_TURN,14,95,LARGE,N/A,LANE2,RED,103.78,720,656
2026-01-23T18:20:59.426128,2026-01-23,18:20:59,18,ILLEGAL_TURN,15,110,SMALL,N/A,LANE2,RED,91.2,737,680
2026-01-23T18:20:59.537306,2026-01-23,18:20:59,18,ILLEGAL_TURN,16,66,SMALL,N/A,LANE2,RED,46.69,563,439
2026-01-23T18:21:00.333393,2026-01-23,18:21:00,18,ILLEGAL_TURN,17,69,MEDIUM,N/A,LANE2,RED,50.09,616,546
2026-01-23T18:21:03.682518,2026-01-23,18:21:03,18,ILLEGAL_TURN,18,122,SMALL,N/A,LANE2,RED,217.1,597,515
2026-01-23T18:21:03.894136,2026-01-23,18:21:03,18,ILLEGAL_TURN,19,127,SMALL,N/A,LANE2,RED,59.13,603,436
2026-01-23T18:21:04.228741,2026-01-23,18:21:04,18,ILLEGAL_TURN,20,124,SMALL,N/A,LANE2,RED,115.56,632,591
2026-01-23T18:21:04.619242,2026-01-23,18:21:04,18,ILLEGAL_TURN,21,143,SMALL,N/A,LANE2,RED,212.03,760,713
2026-01-23T18:21:31.433195,2026-01-23,18:21:31,18,ILLEGAL_TURN,1,6,SMALL,N/A,LANE1,GREEN,19.77,537,202
