timestamp,event_type,event_id,lane,vehicle_id,vehicle_type,license_plate,description,location
2026-02-15T17:13:25.744728,ACCIDENT,1,UNKNOWN,5,SMALL,N/A,"Collision detected between vehicles (IDs: 5, 6) in None","(783, 346)"
2026-02-15T17:13:26.849214,ACCIDENT,15,LANE3,4,MEDIUM,N/A,"Collision detected between vehicles (IDs: 4, 5) in LANE3","(863, 346)"
2026-02-15T17:13:34.208446,ACCIDENT,1,UNKNOWN,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 2) in None","(436, 443)"
2026-02-15T17:13:35.441311,ACCIDENT,8,LANE3,4,MEDIUM,N/A,"Collision detected between vehicles (IDs: 4, 6) in LANE3","(863, 346)"
2026-02-15T17:13:37.884346,RED_LIGHT_VIOLATION,1,LANE3,5,LARGE,N/A,Vehicle 5 ran red light in LANE3,"(685, 344)"
2026-02-15T17:13:39.345962,ACCIDENT,41,INTERSECTION,10,SMALL,N/A,"Collision detected between vehicles (IDs: 10, 11) in INTERSECTION","(493, 349)"
2026-02-15T17:13:40.901004,ACCIDENT,49,UNKNOWN,7,LARGE,N/A,"Collision detected between vehicles (IDs: 7, 8) in None","(748, 422)"
2026-02-15T17:13:41.128431,ACCIDENT,59,UNKNOWN,9,MEDIUM,N/A,"Collision detected between vehicles (IDs: 9, 15) in None","(733, 518)"
2026-02-15T17:13:41.359612,ACCIDENT,73,UNKNOWN,14,MEDIUM,N/A,"Collision detected between vehicles (IDs: 14, 16) in None","(783, 631)"
2026-02-15T17:13:42.240472,ACCIDENT,1,INTERSECTION,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 3) in INTERSECTION","(806, 346)"
2026-02-15T17:13:44.914129,ACCIDENT,7,INTERSECTION,4,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 4, 5) in INTERSECTION","(490, 318)"
2026-02-15T17:13:45.585508,ACCIDENT,1,LANE3,2,MEDIUM,N/A,"Collision detected between vehicles (IDs: 2, 3) in LANE3","(827, 343)"
2026-02-15T17:13:57.393258,RED_LIGHT_VIOLATION,1,LANE3,3,LARGE,N/A,Vehicle 3 ran red light in LANE3,"(715, 344)"
2026-02-15T17:13:57.618247,ACCIDENT,7,LANE4,5,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 5, 8) in LANE4","(474, 325)"
2026-02-15T17:13:58.074767,ACCIDENT,12,UNKNOWN,9,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 9, 11) in None","(774, 516)"
2026-02-15T17:14:00.196400,ACCIDENT,17,UNKNOWN,7,LARGE,N/A,"Collision detected between vehicles (IDs: 7, 14) in None","(802, 465)"
2026-02-15T17:14:03.091168,ACCIDENT,1,INTERSECTION,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 5) in INTERSECTION","(806, 345)"
2026-02-15T17:14:18.244533,ACCIDENT,7,INTERSECTION,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 9) in INTERSECTION","(492, 297)"
2026-02-15T17:14:24.819392,ACCIDENT,12,UNKNOWN,4,LARGE,N/A,"Collision detected between vehicles (IDs: 4, 11) in None","(799, 475)"
2026-02-15T17:14:27.170576,ACCIDENT,17,UNKNOWN,12,UNKNOWN,N/A,"Collision detected between vehicles (IDs: 12, 13) in None","(771, 130)"
2026-02-15T17:14:30.630485,ACCIDENT,22,LANE3,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 17) in LANE3","(722, 386)"
2026-02-15T17:14:31.953986,RED_LIGHT_VIOLATION,1,LANE3,17,MEDIUM,N/A,Vehicle 17 ran red light in LANE3,"(723, 353)"
2026-02-15T17:14:36.980261,ACCIDENT,28,LANE3,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 6) in LANE3","(853, 349)"
2026-02-15T17:14:38.642766,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 443)"
2026-02-15T17:14:41.652793,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:14:42.659981,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:14:45.109232,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 443)"
2026-02-15T17:14:46.231840,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:14:47.013493,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:15:25.235739,ACCIDENT,6,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 8) in LANE3","(853, 349)"
2026-02-15T17:15:31.048193,ACCIDENT,11,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 443)"
2026-02-15T17:15:34.612825,ACCIDENT,16,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 9) in LANE3","(853, 349)"
2026-02-15T17:15:37.846823,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:15:41.301678,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:16:25.337987,ACCIDENT,6,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:17:09.368979,ACCIDENT,11,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:17:29.097116,ACCIDENT,16,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 13) in LANE3","(851, 350)"
2026-02-15T17:17:53.404029,ACCIDENT,21,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:18:01.306490,ACCIDENT,26,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 16) in LANE3","(853, 349)"
2026-02-15T17:18:29.851586,ACCIDENT,31,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 18) in LANE3","(853, 349)"
2026-02-15T17:19:45.751789,ACCIDENT,1,LANE3,3,SMALL,N/A,"Collision detected between vehicles (IDs: 3, 4) in LANE3","(861, 347)"
2026-02-15T17:19:45.753869,ACCIDENT,2,UNKNOWN,5,LARGE,N/A,"Collision detected between vehicles (IDs: 5, 6) in None","(739, 442)"
2026-02-15T17:19:50.425826,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:19:53.000840,ACCIDENT,6,LANE2,7,MEDIUM,N/A,"Collision detected between vehicles (IDs: 7, 8) in LANE2","(684, 543)"
2026-02-15T17:19:55.561101,ACCIDENT,1,UNKNOWN,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 4) in None","(740, 444)"
2026-02-15T17:19:57.227690,ACCIDENT,6,LANE3,2,MEDIUM,N/A,"Collision detected between vehicles (IDs: 2, 6) in LANE3","(853, 349)"
2026-02-15T17:20:13.401540,ACCIDENT,1,LANE3,2,LARGE,N/A,"Collision detected between vehicles (IDs: 2, 6) in LANE3","(853, 349)"
2026-02-15T17:20:18.185683,ACCIDENT,1,LANE3,3,SMALL,N/A,"Collision detected between vehicles (IDs: 3, 7) in LANE3","(853, 349)"
2026-02-15T17:20:26.106043,ACCIDENT,1,LANE3,3,LARGE,N/A,"Collision detected between vehicles (IDs: 3, 7) in LANE3","(853, 350)"
2026-02-15T17:20:39.706086,RED_LIGHT_VIOLATION,1,LANE3,1,LARGE,N/A,Vehicle 1 ran red light in LANE3,"(722, 417)"
2026-02-15T17:20:40.697803,ACCIDENT,1,INTERSECTION,1,LARGE,N/A,"Collision detected between vehicles (IDs: 1, 3) in INTERSECTION","(707, 399)"
